#  Wavelength        (Rp/Rs)**2
#          um          unitless
     2.212569   1.458500593e-02
     2.212080   1.460222860e-02
     2.211591   1.460387642e-02
     2.211102   1.460646754e-02
     2.210613   1.460862319e-02
     2.210124   1.467335944e-02
     2.209636   1.455871562e-02
     2.209148   1.457824716e-02
     2.208660   1.467826108e-02
     2.208172   1.454652833e-02
     2.207685   1.461120035e-02
     2.207197   1.467482158e-02
     2.206710   1.454857077e-02
     2.206223   1.457311290e-02
     2.205737   1.460640496e-02
     2.205250   1.460114937e-02
     2.204764   1.464285418e-02
     2.204278   1.460897284e-02
     2.203792   1.464414458e-02
     2.203307   1.456972770e-02
     2.202821   1.457572810e-02
     2.202336   1.456309406e-02
     2.201851   1.455744627e-02
     2.201367   1.455421894e-02
     2.200882   1.461598646e-02
     2.200398   1.462073798e-02
     2.199914   1.455392039e-02
     2.199430   1.461267269e-02
     2.198946   1.460281601e-02
     2.198463   1.455826338e-02
     2.197980   1.462869568e-02
     2.197497   1.454936551e-02
     2.197014   1.455423879e-02
     2.196531   1.461954459e-02
     2.196049   1.456331733e-02
     2.195567   1.463508126e-02
     2.195085   1.456983649e-02
     2.194603   1.468280051e-02
     2.194122   1.455905796e-02
     2.193640   1.458047829e-02
     2.193159   1.459978333e-02
     2.192678   1.460979314e-02
     2.192198   1.456097883e-02
     2.191717   1.456488419e-02
     2.191237   1.466108209e-02
     2.190757   1.461864746e-02
     2.190277   1.465893782e-02
     2.189797   1.456664821e-02
     2.189318   1.459720315e-02
     2.188839   1.455989942e-02
     2.188360   1.455654474e-02
     2.187881   1.462029395e-02
     2.187402   1.457596022e-02
     2.186924   1.456749824e-02
     2.186446   1.463054848e-02
     2.185968   1.461685754e-02
     2.185490   1.464302716e-02
     2.185013   1.458799510e-02
     2.184535   1.455963770e-02
     2.184058   1.461081348e-02
     2.183581   1.457580495e-02
     2.183105   1.458956182e-02
     2.182628   1.460948846e-02
     2.182152   1.466572922e-02
     2.181676   1.454843918e-02
     2.181200   1.457533721e-02
     2.180724   1.465144361e-02
     2.180249   1.466945791e-02
     2.179773   1.454828332e-02
     2.179298   1.456470767e-02
     2.178824   1.468111393e-02
     2.178349   1.456835457e-02
     2.177875   1.461009039e-02
     2.177400   1.464340743e-02
     2.176926   1.462782769e-02
     2.176453   1.460693023e-02
     2.175979   1.481427307e-02
     2.175506   1.457081761e-02
     2.175032   1.464440385e-02
     2.174559   1.465709758e-02
     2.174087   1.457735269e-02
     2.173614   1.468561049e-02
     2.173142   1.466345693e-02
     2.172670   1.459020227e-02
     2.172198   1.458954674e-02
     2.171726   1.475549251e-02
     2.171254   1.455167926e-02
     2.170783   1.455597392e-02
     2.170312   1.466105890e-02
     2.169841   1.463803688e-02
     2.169370   1.453967858e-02
     2.168900   1.467396153e-02
     2.168429   1.466537455e-02
     2.167959   1.453852257e-02
     2.167489   1.477077035e-02
     2.167020   1.465849750e-02
     2.166550   1.469704901e-02
     2.166081   1.458243073e-02
     2.165612   1.453449950e-02
     2.165143   1.454565411e-02
     2.164674   1.462517205e-02
     2.164206   1.454171526e-02
     2.163738   1.466103095e-02
     2.163269   1.455418691e-02
     2.162802   1.455335558e-02
     2.162334   1.457054460e-02
     2.161866   1.453449763e-02
     2.161399   1.456487366e-02
     2.160932   1.453819234e-02
     2.160465   1.454124551e-02
     2.159999   1.455300164e-02
     2.159532   1.474890153e-02
     2.159066   1.460113249e-02
     2.158600   1.456023780e-02
     2.158134   1.467038106e-02
     2.157668   1.460710308e-02
     2.157203   1.454260540e-02
     2.156738   1.456388463e-02
     2.156273   1.458380520e-02
     2.155808   1.455581800e-02
     2.155343   1.460293993e-02
     2.154879   1.453927980e-02
     2.154414   1.470709068e-02
     2.153950   1.455937255e-02
     2.153486   1.453957039e-02
     2.153023   1.456330140e-02
     2.152559   1.453468142e-02
     2.152096   1.467301193e-02
     2.151633   1.456290392e-02
     2.151170   1.453323415e-02
     2.150708   1.461498050e-02
     2.150245   1.454548448e-02
     2.149783   1.457046386e-02
     2.149321   1.455530744e-02
     2.148859   1.455185343e-02
     2.148397   1.453924153e-02
     2.147936   1.456298025e-02
     2.147475   1.453678715e-02
     2.147013   1.476590895e-02
     2.146553   1.455463495e-02
     2.146092   1.456059017e-02
     2.145631   1.477423876e-02
     2.145171   1.459435660e-02
     2.144711   1.453764649e-02
     2.144251   1.477196272e-02
     2.143792   1.454089126e-02
     2.143332   1.462340085e-02
     2.142873   1.464264639e-02
     2.142414   1.454445828e-02
     2.141955   1.453749424e-02
     2.141496   1.453794674e-02
     2.141038   1.454159300e-02
     2.140579   1.453975344e-02
     2.140121   1.454296608e-02
     2.139663   1.453200977e-02
     2.139206   1.473118660e-02
     2.138748   1.454926995e-02
     2.138291   1.468900177e-02
     2.137834   1.471296304e-02
     2.137377   1.454252856e-02
     2.136920   1.469174829e-02
     2.136463   1.452593171e-02
     2.136007   1.453100120e-02
     2.135551   1.456652373e-02
     2.135095   1.453626899e-02
     2.134639   1.453310479e-02
     2.134184   1.452970395e-02
     2.133728   1.455305515e-02
     2.133273   1.461373738e-02
     2.132818   1.452947253e-02
     2.132363   1.455215509e-02
     2.131909   1.459442360e-02
     2.131454   1.465578068e-02
     2.131000   1.458250831e-02
     2.130546   1.453151411e-02
     2.130092   1.453669469e-02
     2.129638   1.462273388e-02
     2.129185   1.453697346e-02
     2.128732   1.481014923e-02
     2.128279   1.457175410e-02
     2.127826   1.458065292e-02
     2.127373   1.453895714e-02
     2.126921   1.452572463e-02
     2.126468   1.452906692e-02
     2.126016   1.452750719e-02
     2.125564   1.461253759e-02
     2.125113   1.453280134e-02
     2.124661   1.454028314e-02
     2.124210   1.471362700e-02
     2.123759   1.470157418e-02
     2.123308   1.453127853e-02
     2.122857   1.467650457e-02
     2.122407   1.453247057e-02
     2.121956   1.453379009e-02
     2.121506   1.454691218e-02
     2.121056   1.472393532e-02
     2.120606   1.453807551e-02
     2.120157   1.467448088e-02
     2.119707   1.459702535e-02
     2.119258   1.453085887e-02
     2.118809   1.457260911e-02
     2.118360   1.476869023e-02
     2.117911   1.454207748e-02
     2.117463   1.466674950e-02
     2.117015   1.479522829e-02
     2.116567   1.452490264e-02
     2.116119   1.465926917e-02
     2.115671   1.452570752e-02
     2.115224   1.456761322e-02
     2.114776   1.457411440e-02
     2.114329   1.454566335e-02
     2.113882   1.453125849e-02
     2.113435   1.453035203e-02
     2.112989   1.453039238e-02
     2.112542   1.454213068e-02
     2.112096   1.454689870e-02
     2.111650   1.453917450e-02
     2.111204   1.456629636e-02
     2.110759   1.455416010e-02
     2.110313   1.453447704e-02
     2.109868   1.453822295e-02
     2.109423   1.452622834e-02
     2.108978   1.473866705e-02
     2.108534   1.455196082e-02
     2.108089   1.471395922e-02
     2.107645   1.453748050e-02
     2.107201   1.452905785e-02
     2.106757   1.462075960e-02
     2.106313   1.453363641e-02
     2.105869   1.456953026e-02
     2.105426   1.473892253e-02
     2.104983   1.453009928e-02
     2.104540   1.453477288e-02
     2.104097   1.452469575e-02
     2.103654   1.453331987e-02
     2.103212   1.454116703e-02
     2.102770   1.455034880e-02
     2.102328   1.452814591e-02
     2.101886   1.454706512e-02
     2.101444   1.452377413e-02
     2.101002   1.453022839e-02
     2.100561   1.451880479e-02
     2.100120   1.453394516e-02
     2.099679   1.466038520e-02
     2.099238   1.464575550e-02
     2.098798   1.452668594e-02
     2.098357   1.454049278e-02
     2.097917   1.454893415e-02
     2.097477   1.464400865e-02
     2.097037   1.452272551e-02
     2.096598   1.452973313e-02
     2.096158   1.452888252e-02
     2.095719   1.452901933e-02
     2.095280   1.452946898e-02
     2.094841   1.452834094e-02
     2.094402   1.452623184e-02
     2.093963   1.453501119e-02
     2.093525   1.452342427e-02
     2.093087   1.453824140e-02
     2.092649   1.452177710e-02
     2.092211   1.459262607e-02
     2.091773   1.453949601e-02
     2.091336   1.452075425e-02
     2.090899   1.452689268e-02
     2.090462   1.465989545e-02
     2.090025   1.454698861e-02
     2.089588   1.455083797e-02
     2.089151   1.453577263e-02
     2.088715   1.455411167e-02
     2.088279   1.453361974e-02
     2.087843   1.452695258e-02
     2.087407   1.453420733e-02
     2.086971   1.454544586e-02
     2.086536   1.454238751e-02
     2.086101   1.452772460e-02
     2.085666   1.453231647e-02
     2.085231   1.455460345e-02
     2.084796   1.457253737e-02
     2.084361   1.452858432e-02
     2.083927   1.453091254e-02
     2.083493   1.453525705e-02
     2.083059   1.452641819e-02
     2.082625   1.453230245e-02
     2.082191   1.453829107e-02
     2.081758   1.453200576e-02
     2.081325   1.452565480e-02
     2.080891   1.453508200e-02
     2.080459   1.455756046e-02
     2.080026   1.456134586e-02
     2.079593   1.454516238e-02
     2.079161   1.454011728e-02
     2.078729   1.453612961e-02
     2.078297   1.453726957e-02
     2.077865   1.453592486e-02
     2.077433   1.453887069e-02
     2.077002   1.454093394e-02
     2.076570   1.453056079e-02
     2.076139   1.453831965e-02
     2.075708   1.454150133e-02
     2.075278   1.454270045e-02
     2.074847   1.453495482e-02
     2.074417   1.456563453e-02
     2.073986   1.457133043e-02
     2.073556   1.452291426e-02
     2.073126   1.456264177e-02
     2.072697   1.454136451e-02
     2.072267   1.452653415e-02
     2.071838   1.454154757e-02
     2.071409   1.454677480e-02
     2.070980   1.455075386e-02
     2.070551   1.456641616e-02
     2.070122   1.453205628e-02
     2.069694   1.453705821e-02
     2.069265   1.454223718e-02
     2.068837   1.453811297e-02
     2.068409   1.456627786e-02
     2.067982   1.455861456e-02
     2.067554   1.455464093e-02
     2.067127   1.452561294e-02
     2.066700   1.455646914e-02
     2.066273   1.454732733e-02
     2.065846   1.454477928e-02
     2.065419   1.457232239e-02
     2.064992   1.455139162e-02
     2.064566   1.454798431e-02
     2.064140   1.457935065e-02
     2.063714   1.454829190e-02
     2.063288   1.455694351e-02
     2.062863   1.456561829e-02
     2.062437   1.454435977e-02
     2.062012   1.454319093e-02
     2.061587   1.456533815e-02
     2.061162   1.454055626e-02
     2.060737   1.453433746e-02
     2.060312   1.455048922e-02
     2.059888   1.454556470e-02
     2.059464   1.457501102e-02
     2.059040   1.455336218e-02
     2.058616   1.452419975e-02
     2.058192   1.453027463e-02
     2.057769   1.452843471e-02
     2.057345   1.453368399e-02
     2.056922   1.453959193e-02
     2.056499   1.457069632e-02
     2.056076   1.456095839e-02
     2.055654   1.453909142e-02
     2.055231   1.452069176e-02
     2.054809   1.454779209e-02
     2.054387   1.455196566e-02
     2.053965   1.455157187e-02
     2.053543   1.456482562e-02
     2.053121   1.452304900e-02
     2.052700   1.453901192e-02
     2.052279   1.452486330e-02
     2.051858   1.454604708e-02
     2.051437   1.459364450e-02
     2.051016   1.454528780e-02
     2.050595   1.457661797e-02
     2.050175   1.454624476e-02
     2.049755   1.453730734e-02
     2.049335   1.453098794e-02
     2.048915   1.452683462e-02
     2.048495   1.454041480e-02
     2.048075   1.451798082e-02
     2.047656   1.453623118e-02
     2.047237   1.455860323e-02
     2.046818   1.454059663e-02
     2.046399   1.454164631e-02
     2.045980   1.453855721e-02
     2.045562   1.452692464e-02
     2.045143   1.453781274e-02
     2.044725   1.452934033e-02
     2.044307   1.454591193e-02
     2.043889   1.457172990e-02
     2.043472   1.454234890e-02
     2.043054   1.453988816e-02
     2.042637   1.455582308e-02
     2.042220   1.454604768e-02
     2.041803   1.458355260e-02
     2.041386   1.451822257e-02
     2.040969   1.453012171e-02
     2.040553   1.454345185e-02
     2.040137   1.452346123e-02
     2.039720   1.454433814e-02
     2.039304   1.453877760e-02
     2.038889   1.458157479e-02
     2.038473   1.454437401e-02
     2.038058   1.455480279e-02
     2.037642   1.455165246e-02
     2.037227   1.453377574e-02
     2.036812   1.451963988e-02
     2.036397   1.452853452e-02
     2.035983   1.455924391e-02
     2.035568   1.459019587e-02
     2.035154   1.454887868e-02
     2.034740   1.454551324e-02
     2.034326   1.455400372e-02
     2.033912   1.455018522e-02
     2.033499   1.455799560e-02
     2.033085   1.451534032e-02
     2.032672   1.456572183e-02
     2.032259   1.454400647e-02
     2.031846   1.452552125e-02
     2.031433   1.454959133e-02
     2.031021   1.452378929e-02
     2.030608   1.453329889e-02
     2.030196   1.451647772e-02
     2.029784   1.453370642e-02
     2.029372   1.455873273e-02
     2.028960   1.460783377e-02
     2.028549   1.451610981e-02
     2.028137   1.461266176e-02
     2.027726   1.453477232e-02
     2.027315   1.457002596e-02
     2.026904   1.454917357e-02
     2.026493   1.453587673e-02
     2.026083   1.450947139e-02
     2.025672   1.456841838e-02
     2.025262   1.455791950e-02
     2.024852   1.452224462e-02
     2.024442   1.456039175e-02
     2.024032   1.454593705e-02
     2.023623   1.451832350e-02
     2.023213   1.451848485e-02
     2.022804   1.453465996e-02
     2.022395   1.455672397e-02
     2.021986   1.452933869e-02
     2.021577   1.452469266e-02
     2.021169   1.455717042e-02
     2.020760   1.456528923e-02
     2.020352   1.458427395e-02
     2.019944   1.456437234e-02
     2.019536   1.453141732e-02
     2.019128   1.452938009e-02
     2.018721   1.451759568e-02
     2.018313   1.453632970e-02
     2.017906   1.454754850e-02
     2.017499   1.455435611e-02
     2.017092   1.455990688e-02
     2.016685   1.456158520e-02
     2.016278   1.454952878e-02
     2.015872   1.456091933e-02
     2.015466   1.455734736e-02
     2.015059   1.456021106e-02
